831
path	clothes	name	category	color	detail	print	material	length	neckline	collar	fit	shape
K-Fashion 이미지/원천데이터/레트로/10.30-bl532(2)-블루샵 3.2_-4-IMG_6568.jpg	상의	10.30-bl532(2)-블루샵 3.2_-4-IMG_6568.JPG	블라우스	라벤더	['러플']	['무지']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl532(2)-블루샵 3.2_-4-IMG_6568.jpg	하의	10.30-bl532(2)-블루샵 3.2_-4-IMG_6568.JPG	스커트	블랙	['플리츠']	['플로럴']	['시폰']				노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl533(3)-블루샵 3.2_-6-IMG_6907.jpg	상의	10.30-bl533(3)-블루샵 3.2_-6-IMG_6907.JPG	블라우스	오렌지	['셔링', '리본']	['플로럴']	['시폰']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/10.30-bl533(3)-블루샵 3.2_-6-IMG_6907.jpg	하의	10.30-bl533(3)-블루샵 3.2_-6-IMG_6907.JPG	청바지	블랙		['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1733)-1.jpg	상의	1103 신규작업-4-output-2-(1733)-1.jpg	블라우스	그린	['셔링', '퍼프', '플레어']	['도트']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1733)-1.jpg	하의	1103 신규작업-4-output-2-(1733)-1.jpg	청바지	스카이블루			['데님']				노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1743)-1.jpg	상의	1103 신규작업-4-output-2-(1743)-1.jpg	블라우스	카키	['셔링', '퍼프', '플레어']	['도트']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1743)-1.jpg	하의	1103 신규작업-4-output-2-(1743)-1.jpg	청바지	스카이블루			['데님']				노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1773)-1.jpg	상의	1103 신규작업-4-output-2-(1773)-1.jpg	블라우스	레드	['프릴', '단추']	['스트라이프']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1773)-1.jpg	하의	1103 신규작업-4-output-2-(1773)-1.jpg	청바지	스카이블루			['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1783)-1.jpg	상의	1103 신규작업-4-output-2-(1783)-1.jpg	블라우스	레드	['프릴', '단추']	['스트라이프']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(1783)-1.jpg	하의	1103 신규작업-4-output-2-(1783)-1.jpg	청바지	스카이블루			['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(2013)-1.jpg	상의	1103 신규작업-4-output-2-(2013)-1.jpg	셔츠	오렌지	['띠', '퍼프', '셔링', '프릴']	['플로럴']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(2013)-1.jpg	하의	1103 신규작업-4-output-2-(2013)-1.jpg	청바지	스카이블루			['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(2023)-1.jpg	상의	1103 신규작업-4-output-2-(2023)-1.jpg	셔츠	오렌지	['띠', '퍼프', '셔링', '프릴']	['플로럴']	['우븐']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(2023)-1.jpg	하의	1103 신규작업-4-output-2-(2023)-1.jpg	청바지	스카이블루			['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(793)-1.jpg	상의	1103 신규작업-4-output-2-(793)-1.jpg	셔츠	화이트		['무지']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/1103 신규작업-4-output-2-(793)-1.jpg	하의	1103 신규작업-4-output-2-(793)-1.jpg	청바지	스카이블루	['디스트로이드']	['무지']	['데님']				벨보텀	
K-Fashion 이미지/원천데이터/레트로/1105-8479-신규-ops1972-ops1972-s_3.jpg	원피스	1105-8479-신규-ops1972-ops1972-s_3.jpg	드레스	브라운	['리본', '셔링']	['체크']	['우븐']	긴팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2005).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2005).JPG	탑	화이트		['스트라이프']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2005).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2005).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2015).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2015).JPG	탑	화이트		['스트라이프']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2015).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2015).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2025).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2025).JPG	탑	화이트		['스트라이프']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2025).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2025).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2035).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2035).JPG	탑	화이트		['무지']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2035).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2035).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2045).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2045).JPG	탑	화이트		['무지']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2045).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2045).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2055).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2055).JPG	탑	화이트		['무지']	['우븐']	7부소매	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2055).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2055).JPG	청바지	스카이블루	['포켓']	['무지']	['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2095).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2095).JPG	탑	화이트		['무지', '레터링']	['우븐']	긴팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2095).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2095).JPG	청바지	네이비	['포켓']		['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2105).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2105).JPG	탑	화이트		['무지', '레터링']	['우븐']	긴팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2105).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2105).JPG	청바지	네이비	['포켓']		['데님']				와이드	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2175).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2175).JPG	탑			['레터링']	['우븐']		라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2175).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2175).JPG	청바지	블루		['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2175).jpg	아우터	1107-14428-14428 (2-1)-20200129-1 (2175).JPG	짚업	화이트	['지퍼', '스트링']	['무지']	['우븐']	긴팔	후드		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2185).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2185).JPG	탑			['레터링']	['우븐']		라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2185).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2185).JPG	청바지	블루		['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2185).jpg	아우터	1107-14428-14428 (2-1)-20200129-1 (2185).JPG	짚업	화이트	['지퍼', '스트링']	['무지']	['우븐']	긴팔	후드		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2195).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2195).JPG	청바지	블루		['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2195).jpg	아우터	1107-14428-14428 (2-1)-20200129-1 (2195).JPG	짚업	화이트	['지퍼', '스트링']	['무지']	['우븐']	긴팔	후드		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2205).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2205).JPG	청바지	블루		['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2205).jpg	아우터	1107-14428-14428 (2-1)-20200129-1 (2205).JPG	짚업	화이트	['지퍼', '스트링']	['무지']	['우븐']	긴팔	후드		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2245).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2245).JPG	탑	화이트		['레터링']		긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2245).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2245).JPG	청바지	블루	['디스트로이드']	['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2255).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2255).JPG	탑	화이트		['레터링']		긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2255).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2255).JPG	청바지	블루	['디스트로이드']	['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2265).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2265).JPG	탑	화이트		['레터링']		긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2265).jpg	하의	1107-14428-14428 (2-1)-20200129-1 (2265).JPG	청바지	블루	['디스트로이드']	['무지']	['데님']				스키니	
K-Fashion 이미지/원천데이터/레트로/1107-14428-14428 (2-1)-20200129-1 (2275).jpg	상의	1107-14428-14428 (2-1)-20200129-1 (2275).JPG	탑	화이트		['레터링']		긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/122-122-set1026k0a-set1026k0a-s_8.jpg	상의	122-122-set1026k0a-set1026k0a-s_8.jpg	블라우스	브라운		['체크']	['우븐']	긴팔	유넥		노멀	
K-Fashion 이미지/원천데이터/레트로/122-122-set1026k0a-set1026k0a-s_8.jpg	하의	122-122-set1026k0a-set1026k0a-s_8.jpg	스커트	브라운		['체크']	['우븐']				노멀	
K-Fashion 이미지/원천데이터/레트로/122-122-set856c06-set856c06-s_6.jpg	상의	122-122-set856c06-set856c06-s_6.jpg	티셔츠	블랙		['무지']	['우븐']	반팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/15-(10)-ops1548(2)-엘리드레스(대행,테슬사각OP)7.4-01-IMG_2569.jpg	원피스	15-(10)-ops1548(2)-엘리드레스(대행,테슬사각OP)7.4-01-IMG_2569.jpg	드레스	와인	['태슬', '셔링']	['무지']	['니트']	반팔	스퀘어넥		루즈	
K-Fashion 이미지/원천데이터/레트로/157976057762646300_906335137.jpg	상의	157976057762646300_906335137.jpg	셔츠	그린	['단추']	['체크']	['우븐']	7부소매			노멀	
K-Fashion 이미지/원천데이터/레트로/158089468782390900_1483699645.jpg	원피스	158089468782390900_1483699645.jpg	드레스	블루	['단추']	['무지']	['데님']	민소매			노멀	
K-Fashion 이미지/원천데이터/레트로/158089482192493600_98448467.jpg	아우터	158089482192493600_98448467.jpg	재킷	블루	['포켓', '디스트로이드']	['무지']	['데님']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/158089513027265099_646442235.jpg	아우터	158089513027265099_646442235.jpg	재킷	블루	['포켓']	['무지']	['데님']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/158097432896500100_1752420714.jpg	아우터	158097432896500100_1752420714.jpg	재킷	블루	['포켓', '디스트로이드']	['무지']	['데님']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/158097467275103300_1675979540.jpg	하의	158097467275103300_1675979540.jpg	팬츠			['무지']	['우븐']				스키니	
K-Fashion 이미지/원천데이터/레트로/158097467275103300_1675979540.jpg	아우터	158097467275103300_1675979540.jpg	재킷	블루	['포켓']	['무지']	['데님']	긴팔			오버사이즈	
K-Fashion 이미지/원천데이터/레트로/158097481497913200_1911849736.jpg	아우터	158097481497913200_1911849736.jpg	재킷	블루	['포켓']	['무지']	['데님']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/158105942461443200_990472136.jpg	원피스	158105942461443200_990472136.jpg	드레스	네이비	['플레어']	['도트']	['시폰']	민소매			타이트	
K-Fashion 이미지/원천데이터/레트로/158218562494692400_1494233310.jpg	원피스	158218562494692400_1494233310.jpg	드레스	네이비	['셔링']	['도트']	['시폰']	반팔	유넥		노멀	
K-Fashion 이미지/원천데이터/레트로/158226378196661700_1562050239.jpg	원피스	158226378196661700_1562050239.jpg	드레스	레드	['셔링']	['도트']	['시폰']	긴팔	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/158433663897071500_1836533832.jpg	아우터	158433663897071500_1836533832.jpg	재킷	블루	['포켓']	['무지']	['데님']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/158677361266704000_1212879012.jpg	원피스	158677361266704000_1212879012.jpg	드레스	블랙	['단추', '퍼프']	['도트']	['우븐']	반팔			타이트	
K-Fashion 이미지/원천데이터/레트로/158753611064473100_1115965402.jpg	원피스	158753611064473100_1115965402.jpg	드레스	그린	['슬릿', '퍼프']	['깅엄']	['우븐']	반팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/159108451299355800_241583441.jpg	원피스	159108451299355800_241583441.jpg	드레스	레드	['퍼프', '셔링', '플레어']	['도트']	['시폰']	반팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/159108547790239700_819694741.jpg	원피스	159108547790239700_819694741.jpg	점프수트	블랙	['플리츠']	['도트']	['시폰']	민소매	스퀘어넥		루즈	
K-Fashion 이미지/원천데이터/레트로/159849774566259300_812348006.jpg	아우터	159849774566259300_812348006.jpg	가디건	블랙	['단추', '드롭숄더']	['플로럴', '믹스']	['니트']	긴팔	노카라		루즈	
K-Fashion 이미지/원천데이터/레트로/159861465280360500_1476287400.jpg	원피스	159861465280360500_1476287400.jpg	드레스	화이트		['스트라이프']	['저지']	긴팔			루즈	
K-Fashion 이미지/원천데이터/레트로/159946102820352600_1547328127.jpg	원피스	159946102820352600_1547328127.jpg	드레스	베이지	['셔링']	['믹스']		긴팔	라운드넥		루즈	
K-Fashion 이미지/원천데이터/레트로/159965258914453900_1219569348.jpg	원피스	159965258914453900_1219569348.jpg	드레스	화이트		['믹스']		긴팔				
K-Fashion 이미지/원천데이터/레트로/159973440990914400_239479249.jpg	원피스	159973440990914400_239479249.jpg	드레스	화이트	['단추']	['체크']		민소매			노멀	
K-Fashion 이미지/원천데이터/레트로/160032149928911100_712813240.jpg	상의	160032149928911100_712813240.jpg	블라우스	브라운	['리본', '러플']	['그래픽']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160086249079398800_1473838686.jpg	상의	160086249079398800_1473838686.jpg	블라우스	카키		['믹스']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160265374719748700_400143132.jpg	하의	160265374719748700_400143132.jpg	스커트	블랙	['포켓']		['가죽']				노멀	
K-Fashion 이미지/원천데이터/레트로/160265374719748700_400143132.jpg	아우터	160265374719748700_400143132.jpg	재킷	브라운	['단추']	['체크']	['울/캐시미어']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160265444128984400_1541004883.jpg	상의	160265444128984400_1541004883.jpg	니트웨어	베이지		['체크']	['니트']	민소매			노멀	
K-Fashion 이미지/원천데이터/레트로/160265444796676500_543318482.jpg	상의	160265444796676500_543318482.jpg	니트웨어	베이지		['체크']	['니트']	민소매			노멀	
K-Fashion 이미지/원천데이터/레트로/160274404537171900_237029170.jpg	아우터	160274404537171900_237029170.jpg	코트	블루	['단추', '포켓', '싱글브레스티드']	['무지']	['울/캐시미어']	긴팔	브이넥		루즈	
K-Fashion 이미지/원천데이터/레트로/160283389121842400_1385291987.jpg	상의	160283389121842400_1385291987.jpg	블라우스	카키	['퍼프']	['도트']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (276).jpg	상의	16030757-1 (276).jpg	니트웨어	블랙		['무지']	['니트']	긴팔	터틀넥		노멀	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (276).jpg	하의	16030757-1 (276).jpg	팬츠	베이지	['슬릿']	['무지']	['우븐']				와이드	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (276).jpg	아우터	16030757-1 (276).jpg	재킷	블랙		['플로럴']	['패딩']	긴팔	브이넥		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (294).jpg	상의	16030757-1 (294).jpg	니트웨어	블랙		['무지']	['니트']	긴팔	터틀넥		노멀	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (294).jpg	하의	16030757-1 (294).jpg	팬츠	베이지	['슬릿']	['무지']	['우븐']				와이드	
K-Fashion 이미지/원천데이터/레트로/16030757-1 (294).jpg	아우터	16030757-1 (294).jpg	재킷	블랙		['플로럴']	['패딩']	긴팔	브이넥		오버사이즈	
K-Fashion 이미지/원천데이터/레트로/1603076-0001 (3746).jpg	상의	1603076-0001 (3746).jpg	티셔츠	화이트		['무지']	['우븐']	긴팔	라운드넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1603076-0001 (3746).jpg	하의	1603076-0001 (3746).jpg	팬츠	블랙		['무지']	['우븐']				루즈	
K-Fashion 이미지/원천데이터/레트로/1603076-0001 (3746).jpg	아우터	1603076-0001 (3746).jpg	재킷	오렌지		['체크']	['울/캐시미어']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160317635610948100_1 (10).jpg	상의	160317635610948100_1 (10).jpg	블라우스	베이지	['퍼프']	['도트']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160317635610948100_1 (10).jpg	하의	160317635610948100_1 (10).jpg	팬츠	브라운		['무지']	['우븐']				노멀	
K-Fashion 이미지/원천데이터/레트로/160317635610948100_1 (113).jpg	상의	160317635610948100_1 (113).jpg	블라우스	블랙		['도트']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/160317635610948100_1 (113).jpg	하의	160317635610948100_1 (113).jpg	팬츠	블랙		['무지']	['우븐']				루즈	
K-Fashion 이미지/원천데이터/레트로/1605237573155300_1 (1158).jpg	상의	1605237573155300_1 (1158).jpg	셔츠	베이지		['무지']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/1605237573155300_1 (1158).jpg	아우터	1605237573155300_1 (1158).jpg	베스트	옐로우		['믹스']	['니트']	민소매	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1605237573155300_1 (1165)5.jpg	상의	1605237573155300_1 (1165)5.jpg	셔츠	베이지		['무지']	['우븐']	긴팔			노멀	
K-Fashion 이미지/원천데이터/레트로/1605237573155300_1 (1165)5.jpg	아우터	1605237573155300_1 (1165)5.jpg	베스트	옐로우		['믹스']	['니트']	민소매	브이넥		노멀	
K-Fashion 이미지/원천데이터/레트로/1605237573155300_1 (1358)3.jpg	상의	1605237573155300_1 (1358)3.jpg	니트웨어	그린	['드롭숄더']	['무지']	['울/캐시미어']	긴팔	터틀넥		루즈	
